Date Time	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	RH (%) c:3
02/16/18 10:00:00.0	21.11	-9.49	12
02/16/18 10:30:00.0	20.35	-12.99	9.5
02/16/18 11:00:00.0	20.11	-13.92	8.8
02/16/18 11:30:00.0	20.8	-14.82	7.8
02/16/18 12:00:00.0	22.26	-14.94	7.2
02/16/18 12:30:00.0	21.59	-12.78	8.8
02/16/18 13:00:00.0	21.9	-15.22	7.2
02/16/18 13:30:00.0	21.95	-14.94	7.2
02/16/18 14:00:00.0	21.81	-14.73	7.5
02/16/18 14:30:00.0	21.35	-17.28	6.2
02/16/18 15:00:00.0	20.95	-17.56	6.2
02/16/18 15:30:00.0	20.76	-17.83	6.2
02/16/18 16:00:00.0	20.68	-17.83	6.2
02/16/18 16:30:00.0	20.45	-17.83	6.2
02/16/18 17:00:00.0	20.28	-17.55	6.5
02/16/18 17:30:00.0	20.33	-16.34	7.2
02/16/18 18:00:00.0	20.04	-16.34	7.2
02/16/18 18:30:00.0	19.78	-15.21	8.1
02/16/18 19:00:00.0	19.61	-15.5	8.1
02/16/18 19:30:00.0	19.76	-14.63	8.5
02/16/18 20:00:00.0	19.8	-13.67	9.2
02/16/18 20:30:00.0	19.83	-13.28	9.5
02/16/18 21:00:00.0	19.68	-12.9	9.8
02/16/18 21:30:00.0	21.16	-13.49	8.5
02/16/18 22:00:00.0	22.93	-13.88	7.5
02/16/18 22:30:00.0	23.24	-14.09	7.2
02/16/18 23:00:00.0	23.31	-14.09	7.2
02/16/18 23:30:00.0	23.34	-14.09	7.2
02/17/18 00:00:00.0	23.36	-14.61	6.9
02/17/18 00:30:00.0	23.43	-14.09	7.2
02/17/18 01:00:00.0	23.48	-13.81	7.2
02/17/18 01:30:00.0	23.53	-13.31	7.5
02/17/18 02:00:00.0	23.63	-12.83	7.8
02/17/18 02:30:00.0	23.43	-14.09	7.2
02/17/18 03:00:00.0	23.56	-13.31	7.5
02/17/18 03:30:00.0	23.56	-13.31	7.5
02/17/18 04:00:00.0	23.65	-12.37	8.1
02/17/18 04:30:00.0	23.63	-12.83	7.8
02/17/18 05:00:00.0	23.68	-12.83	7.8
02/17/18 05:30:00.0	23.82	-12.37	8.1
02/17/18 06:00:00.0	23.6	-12.83	7.8
02/17/18 06:30:00.0	23.75	-11.34	8.8
02/17/18 07:00:00.0	23.75	-12.37	8.1
02/17/18 07:30:00.0	23.56	-11.77	8.5
02/17/18 08:00:00.0	20.97	-10.25	11.3
02/17/18 08:30:00.0	20.8	-9.49	12
02/17/18 09:00:00.0	20.92	-10.25	11.3
02/17/18 09:30:00.0	21.11	-9.49	12
02/17/18 10:00:00.0	21.26	-11.24	10.2
02/17/18 10:30:00.0	21.66	-10.58	10.5
02/17/18 11:00:00.0	21.76	-8.9	12
02/17/18 11:30:00.0	21.35	-10.41	10.9
02/17/18 12:00:00.0	21.54	-8.17	12.7
02/17/18 12:30:00.0	21.42	-8.78	12.4
02/17/18 13:00:00.0	21.5	-8.78	12.4
02/17/18 13:30:00.0	21.26	-8.47	12.7
02/17/18 14:00:00.0	21.47	-6.32	15
02/17/18 14:30:00.0	21.38	-4.3	17.5
02/17/18 15:00:00.0	21.09	-4.02	18.3
02/17/18 15:30:00.0	20.95	-3.45	19.1
02/17/18 16:00:00.0	20.99	-1.73	21.7
02/17/18 16:30:00.0	20.92	-2.83	20
02/17/18 17:00:00.0	20.64	-3.42	19.6
02/17/18 17:30:00.0	20.38	-2.62	21.3
02/17/18 18:00:00.0	20.23	-2.87	20.9
02/17/18 18:30:00.0	20.23	-3.46	20
02/17/18 19:00:00.0	20.16	-4.07	19.1
02/17/18 19:30:00.0	20.11	-4.07	19.1
02/17/18 20:00:00.0	20.14	-4.35	18.7
02/17/18 20:30:00.0	19.95	-4.39	19.1
02/17/18 21:00:00.0	19.95	-4.67	18.7
02/17/18 21:30:00.0	22.48	-5.06	15.4
02/17/18 22:00:00.0	23.29	-5.06	14.7
02/17/18 22:30:00.0	23.41	-5.8	13.9
02/17/18 23:00:00.0	23.41	-5.8	13.9
02/17/18 23:30:00.0	23.46	-5.49	13.9
02/18/18 00:00:00.0	23.46	-5.49	13.9
02/18/18 00:30:00.0	23.46	-5.12	14.3
02/18/18 01:00:00.0	23.43	-5.8	13.9
02/18/18 01:30:00.0	23.46	-5.88	13.5
02/18/18 02:00:00.0	23.7	-6.27	13.1
02/18/18 02:30:00.0	23.87	-6.37	12.7
02/18/18 03:00:00.0	23.89	-6.68	12.4
02/18/18 03:30:00.0	23.92	-6.37	12.7
02/18/18 04:00:00.0	23.96	-6.68	12.4
02/18/18 04:30:00.0	23.96	-6.68	12.4
02/18/18 05:00:00.0	23.96	-6.68	12.4
02/18/18 05:30:00.0	23.96	-6.68	12.4
02/18/18 06:00:00.0	23.99	-7.11	12
02/18/18 06:30:00.0	23.96	-6.37	12.7
02/18/18 07:00:00.0	24.18	-6.68	12.4
02/18/18 07:30:00.0	24.01	-7.11	12
02/18/18 08:00:00.0	21.4	-6.32	15
02/18/18 08:30:00.0	21.14	-6.63	15
02/18/18 09:00:00.0	21.11	-5.3	16.6
02/18/18 09:30:00.0	21.16	-5	16.6
02/18/18 10:00:00.0	21.3	-4.3	17.5
02/18/18 10:30:00.0	21.47	-4.61	17.1
02/18/18 11:00:00.0	21.81	-4.69	16.6
02/18/18 11:30:00.0	21.93	-5.71	15
02/18/18 12:00:00.0	21.64	-5.68	15.4
02/18/18 12:30:00.0	21.35	-5.65	15.8
02/18/18 13:00:00.0	21.4	-5.32	16.2
02/18/18 13:30:00.0	21.28	-5.32	16.2
02/18/18 14:00:00.0	21.71	-4.69	16.6
02/18/18 14:30:00.0	21.33	-4.61	17.1
02/18/18 15:00:00.0	21.35	-4.61	17.1
02/18/18 15:30:00.0	20.76	-4.62	17.9
02/18/18 16:00:00.0	20.8	-4.02	18.3
02/18/18 16:30:00.0	20.66	-4.04	18.7
02/18/18 17:00:00.0	20.73	-3.42	19.6
02/18/18 17:30:00.0	20.68	-3.42	19.6
02/18/18 18:00:00.0	20.57	-2.3	21.3
02/18/18 18:30:00.0	20.59	-2.05	21.7
02/18/18 19:00:00.0	20.59	-1.5	22.6
02/18/18 19:30:00.0	20.64	-0.97	23.5
02/18/18 20:00:00.0	20.64	-0.97	23.5
02/18/18 20:30:00.0	20.68	-0.97	23.5
02/18/18 21:00:00.0	20.71	-0.97	23.5
02/18/18 21:30:00.0	22.64	-1.3	20.4
02/18/18 22:00:00.0	23.99	-1.22	18.7
02/18/18 22:30:00.0	24.18	-1.22	18.7
02/18/18 23:00:00.0	24.04	-1.22	18.7
02/18/18 23:30:00.0	24.04	-1.22	18.7
02/19/18 00:00:00.0	24.11	-1.22	18.7
02/19/18 00:30:00.0	24.28	-1.2	18.3
02/19/18 01:00:00.0	24.16	-1.22	18.7
02/19/18 01:30:00.0	24.16	-1.52	18.3
02/19/18 02:00:00.0	23.99	-0.58	19.6
02/19/18 02:30:00.0	24.06	-0.58	19.6
02/19/18 03:00:00.0	24.06	-0.58	19.6
02/19/18 03:30:00.0	24.04	-0.58	19.6
02/19/18 04:00:00.0	23.99	-0.31	20
02/19/18 04:30:00.0	23.96	-0.31	20
02/19/18 05:00:00.0	23.96	-0.04	20.4
02/19/18 05:30:00.0	23.96	-0.04	20.4
02/19/18 06:00:00.0	24.01	-0.04	20.4
02/19/18 06:30:00.0	24.11	0.3	20.9
02/19/18 07:00:00.0	24.23	0.28	20.4
02/19/18 07:30:00.0	24.13	0.3	20.9
