Date Time	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	RH (%) c:3
02/16/18 10:00:00.0	24.23	-9.02	10.1
02/16/18 10:30:00.0	23.87	-12.55	7.8
02/16/18 11:00:00.0	24.52	-13.94	6.8
02/16/18 11:30:00.0	25.37	-15.1	5.9
02/16/18 12:00:00.0	26.12	-14.55	5.9
02/16/18 12:30:00.0	26.44	-10.83	7.8
02/16/18 13:00:00.0	26.98	-13.71	5.9
02/16/18 13:30:00.0	27.42	-15.43	5
02/16/18 14:00:00.0	27.49	-15.43	5
02/16/18 14:30:00.0	27.27	-16.45	4.7
02/16/18 15:00:00.0	26.68	-16.72	4.7
02/16/18 15:30:00.0	25.71	-18.31	4.4
02/16/18 16:00:00.0	24.59	-17.62	5
02/16/18 16:30:00.0	22.98	-18.03	5.3
02/16/18 17:00:00.0	20.78	-17	6.5
02/16/18 17:30:00.0	17.83	-16.63	8.1
02/16/18 18:00:00.0	16.57	-16.01	9.4
02/16/18 18:30:00.0	16.62	-14.86	10.1
02/16/18 19:00:00.0	17.45	-14.64	9.8
02/16/18 19:30:00.0	18.14	-14.95	9.1
02/16/18 20:00:00.0	18.54	-14.27	9.4
02/16/18 20:30:00.0	17.35	-14.64	9.8
02/16/18 21:00:00.0	17	-14.09	10.5
02/16/18 21:30:00.0	17.95	-14.85	9.4
02/16/18 22:00:00.0	17.69	-14.27	10.1
02/16/18 22:30:00.0	17.73	-13.98	10.1
02/16/18 23:00:00.0	17.81	-13.98	10.1
02/16/18 23:30:00.0	17.92	-14.85	9.4
02/17/18 00:00:00.0	18.09	-14.85	9.4
02/17/18 00:30:00.0	18.47	-14.06	9.8
02/17/18 01:00:00.0	18.59	-13.77	9.8
02/17/18 01:30:00.0	21.3	-13.63	8.4
02/17/18 02:00:00.0	22.28	-13.51	8.1
02/17/18 02:30:00.0	22.31	-13.68	7.8
02/17/18 03:00:00.0	22.55	-13.68	7.8
02/17/18 03:30:00.0	22.81	-14.04	7.4
02/17/18 04:00:00.0	23.07	-13.12	7.8
02/17/18 04:30:00.0	23.1	-13.12	7.8
02/17/18 05:00:00.0	23.68	-13.48	7.4
02/17/18 05:30:00.0	23.53	-13.48	7.4
02/17/18 06:00:00.0	23.41	-13.76	7.4
02/17/18 06:30:00.0	26.8	-12.25	6.8
02/17/18 07:00:00.0	25.17	-12.85	7.1
02/17/18 07:30:00.0	23.39	-13.12	7.8
02/17/18 08:00:00.0	21.57	-11.96	9.4
02/17/18 08:30:00.0	22.48	-11.79	9.1
02/17/18 09:00:00.0	21.81	-11.96	9.4
02/17/18 09:30:00.0	21.47	-11.74	9.8
02/17/18 10:00:00.0	21.47	-12.25	9.4
02/17/18 10:30:00.0	22.6	-10.49	10.1
02/17/18 11:00:00.0	22.81	-10.57	9.8
02/17/18 11:30:00.0	21.54	-10.23	10.8
02/17/18 12:00:00.0	23.96	-9.31	10.1
02/17/18 12:30:00.0	22.36	-9.18	11.2
02/17/18 13:00:00.0	21.54	-8.58	12.3
02/17/18 13:30:00.0	20.71	-8.38	13.4
02/17/18 14:00:00.0	21.11	-6.37	15.3
02/17/18 14:30:00.0	21.04	-4.76	17.3
02/17/18 15:00:00.0	20.52	-4.11	18.6
02/17/18 15:30:00.0	19.99	-3.06	21.1
02/17/18 16:00:00.0	20.14	-2.74	21.1
02/17/18 16:30:00.0	20.23	-3	20.7
02/17/18 17:00:00.0	19.54	-3.38	21.1
02/17/18 17:30:00.0	20.3	-2.74	21.1
02/17/18 18:00:00.0	20.07	-2.74	21.1
02/17/18 18:30:00.0	18.95	-2.6	22.9
02/17/18 19:00:00.0	18.04	-3.85	22.4
02/17/18 19:30:00.0	17.19	-3.24	24.6
02/17/18 20:00:00.0	17.69	-4.4	22
02/17/18 20:30:00.0	17.47	-3.87	22.9
02/17/18 21:00:00.0	18.09	-4.39	21.5
02/17/18 21:30:00.0	18.19	-4.58	20.7
02/17/18 22:00:00.0	17.54	-4.96	21.1
02/17/18 22:30:00.0	17.69	-5.21	20.7
02/17/18 23:00:00.0	17.66	-5.21	20.7
02/17/18 23:30:00.0	17.78	-4.89	20.7
02/18/18 00:00:00.0	17.92	-4.89	20.7
02/18/18 00:30:00.0	18.4	-4.83	20.3
02/18/18 01:00:00.0	18.23	-5.16	19.8
02/18/18 01:30:00.0	20.76	-6.01	16.1
02/18/18 02:00:00.0	21.95	-6.16	14.5
02/18/18 02:30:00.0	22.21	-6.52	14.1
02/18/18 03:00:00.0	22.19	-6.8	13.8
