Date Time	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	RH (%) c:3
02/16/18 10:00:00.0	24.25	-10.76	8.8
02/16/18 10:30:00.0	23.56	-13.81	7.2
02/16/18 11:00:00.0	23.92	-14.77	6.5
02/16/18 11:30:00.0	24.64	-15.38	5.9
02/16/18 12:00:00.0	24.49	-15.06	6.2
02/16/18 12:30:00.0	24.49	-13.24	7.2
02/16/18 13:00:00.0	25.03	-15.1	5.9
02/16/18 13:30:00.0	25.58	-15.45	5.6
02/16/18 14:00:00.0	26.36	-15.56	5.3
02/16/18 14:30:00.0	30.99	-15.92	3.9
02/16/18 15:00:00.0	30.38	-16.47	3.9
02/16/18 15:30:00.0	28.6	-15.87	4.5
02/16/18 16:00:00.0	23.68	-17.48	5.3
02/16/18 16:30:00.0	21.59	-18.2	5.6
02/16/18 17:00:00.0	19.73	-16.62	7.2
02/16/18 17:30:00.0	17.66	-16.49	8.4
02/16/18 18:00:00.0	17.73	-16.2	8.4
02/16/18 18:30:00.0	18.21	-15.36	8.8
02/16/18 19:00:00.0	18.88	-15.78	8.1
02/16/18 19:30:00.0	19.59	-15.5	8.1
02/16/18 20:00:00.0	20.28	-14.93	8.1
02/16/18 20:30:00.0	20.07	-14.93	8.1
02/16/18 21:00:00.0	19.66	-14.21	8.8
02/16/18 21:30:00.0	20.61	-14.64	8.1
02/16/18 22:00:00.0	20.78	-14.82	7.8
02/16/18 22:30:00.0	21.11	-14.82	7.8
02/16/18 23:00:00.0	21.19	-15.01	7.5
02/16/18 23:30:00.0	21.23	-15.01	7.5
02/17/18 00:00:00.0	21.54	-14.73	7.5
02/17/18 00:30:00.0	21.97	-14.44	7.5
02/17/18 01:00:00.0	21.97	-14.44	7.5
02/17/18 01:30:00.0	22.02	-13.97	7.8
02/17/18 02:00:00.0	22.09	-13.97	7.8
02/17/18 02:30:00.0	21.54	-13.79	8.1
02/17/18 03:00:00.0	21.83	-14.25	7.8
02/17/18 03:30:00.0	22.31	-13.68	7.8
02/17/18 04:00:00.0	22.31	-12.78	8.4
02/17/18 04:30:00.0	22.52	-13.22	8.1
02/17/18 05:00:00.0	23.12	-13.6	7.5
02/17/18 05:30:00.0	23	-13.88	7.5
02/17/18 06:00:00.0	22.48	-13.22	8.1
02/17/18 06:30:00.0	25.61	-11.89	7.5
02/17/18 07:00:00.0	23.7	-12.83	7.8
