Date Time	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	RH (%) c:3
02/16/18 13:00:00.0	24.01	-8.82	10.5
02/16/18 13:30:00.0	22.91	-11.09	9.4
02/16/18 14:00:00.0	22.88	-11.09	9.4
02/16/18 14:30:00.0	22.95	-11.09	9.4
02/16/18 15:00:00.0	23.03	-11.5	9.1
02/16/18 15:30:00.0	23	-11.5	9.1
02/16/18 16:00:00.0	23	-11.91	8.8
02/16/18 16:30:00.0	22.93	-11.5	9.1
02/16/18 17:00:00.0	22.93	-11.09	9.4
02/16/18 17:30:00.0	22.81	-11.5	9.1
02/16/18 18:00:00.0	22.79	-11.5	9.1
02/16/18 18:30:00.0	22.86	-11.09	9.4
02/16/18 19:00:00.0	22.86	-11.5	9.1
02/16/18 19:30:00.0	22.79	-11.5	9.1
02/16/18 20:00:00.0	22.86	-11.91	8.8
02/16/18 20:30:00.0	22.79	-11.91	8.8
02/16/18 21:00:00.0	22.57	-12.78	8.4
02/16/18 21:30:00.0	22.43	-12.2	8.8
02/16/18 22:00:00.0	22.38	-11.79	9.1
02/16/18 22:30:00.0	22.19	-12.08	9.1
02/16/18 23:00:00.0	22.19	-12.08	9.1
02/16/18 23:30:00.0	22.16	-12.49	8.8
02/17/18 00:00:00.0	22.19	-12.49	8.8
02/17/18 00:30:00.0	22.43	-12.2	8.8
02/17/18 01:00:00.0	23.51	-11.34	8.8
02/17/18 01:30:00.0	23.99	-11.63	8.4
02/17/18 02:00:00.0	24.3	-11.34	8.4
02/17/18 02:30:00.0	24.49	-11.79	8.1
02/17/18 03:00:00.0	24.66	-11.51	8.1
02/17/18 03:30:00.0	24.78	-11.97	7.8
02/17/18 04:00:00.0	24.88	-11.97	7.8
02/17/18 04:30:00.0	24.95	-11.97	7.8
02/17/18 05:00:00.0	25	-11.69	7.8
02/17/18 05:30:00.0	25.05	-11.69	7.8
02/17/18 06:00:00.0	25.12	-11.69	7.8
02/17/18 06:30:00.0	25.24	-11.22	8.1
02/17/18 07:00:00.0	25.44	-10.93	8.1
02/17/18 07:30:00.0	25.24	-11.22	8.1
02/17/18 08:00:00.0	25.08	-10.76	8.4
02/17/18 08:30:00.0	25	-10.76	8.4
02/17/18 09:00:00.0	25	-10.18	8.8
02/17/18 09:30:00.0	25.03	-10.18	8.8
02/17/18 10:00:00.0	25.08	-9.76	9.1
02/17/18 10:30:00.0	25.12	-9.76	9.1
02/17/18 11:00:00.0	25.15	-9.76	9.1
02/17/18 11:30:00.0	22.24	-9.48	11.2
02/17/18 12:00:00.0	21.57	-8.17	12.7
02/17/18 12:30:00.0	21.42	-8.17	13
02/17/18 13:00:00.0	21.45	-8.88	12.3
02/17/18 13:30:00.0	21.28	-8.17	13
02/17/18 14:00:00.0	21.28	-6.67	14.6
02/17/18 14:30:00.0	23.41	-6.28	13.4
02/17/18 15:00:00.0	24.01	-5.67	13.4
02/17/18 15:30:00.0	24.21	-5.67	13.4
02/17/18 16:00:00.0	24.35	-4.98	13.8
02/17/18 16:30:00.0	24.45	-4.98	13.8
02/17/18 17:00:00.0	24.49	-5.77	13
02/17/18 17:30:00.0	24.54	-5.77	13
02/17/18 18:00:00.0	21.66	-5.01	16.2
02/17/18 18:30:00.0	21.3	-5.32	16.2
02/17/18 19:00:00.0	21.26	-5.32	16.2
02/17/18 19:30:00.0	22.72	-6.2	13.8
02/17/18 20:00:00.0	23.89	-6.07	13
02/17/18 20:30:00.0	24.13	-6.07	13
02/17/18 21:00:00.0	24.06	-6.07	13
02/17/18 21:30:00.0	21.28	-5.32	16.2
02/17/18 22:00:00.0	23.34	-5.89	13.8
02/17/18 22:30:00.0	23.75	-6.37	13
02/17/18 23:00:00.0	23.8	-6.37	13
02/17/18 23:30:00.0	23.77	-5.97	13.4
02/18/18 00:00:00.0	23.75	-5.97	13.4
02/18/18 00:30:00.0	23.77	-5.97	13.4
02/18/18 01:00:00.0	23.75	-5.97	13.4
02/18/18 01:30:00.0	23.75	-6.37	13
02/18/18 02:00:00.0	23.72	-6.67	12.7
02/18/18 02:30:00.0	23.68	-6.67	12.7
02/18/18 03:00:00.0	23.65	-6.37	13
02/18/18 03:30:00.0	23.68	-6.37	13
02/18/18 04:00:00.0	23.65	-6.37	13
02/18/18 04:30:00.0	23.63	-6.67	12.7
02/18/18 05:00:00.0	23.6	-6.67	12.7
02/18/18 05:30:00.0	23.58	-6.67	12.7
02/18/18 06:00:00.0	23.6	-7.09	12.3
02/18/18 06:30:00.0	23.84	-7.22	11.9
02/18/18 07:00:00.0	23.94	-7.54	11.6
02/18/18 07:30:00.0	24.01	-7.54	11.6
02/18/18 08:00:00.0	24.06	-7.54	11.6
02/18/18 08:30:00.0	24.08	-6.79	12.3
02/18/18 09:00:00.0	24.18	-6.79	12.3
02/18/18 09:30:00.0	24.25	-5.77	13
02/18/18 10:00:00.0	24.28	-6.07	12.7
02/18/18 10:30:00.0	23.34	-5.15	14.6
02/18/18 11:00:00.0	21.54	-5.01	16.2
02/18/18 11:30:00.0	21.38	-5	16.6
02/18/18 12:00:00.0	21.61	-5.01	16.2
02/18/18 12:30:00.0	23.63	-5.21	14.2
02/18/18 13:00:00.0	24.06	-4.91	14.2
02/18/18 13:30:00.0	24.23	-4.98	13.8
02/18/18 14:00:00.0	24.37	-4.6	14.2
02/18/18 14:30:00.0	24.42	-4.24	14.6
02/18/18 15:00:00.0	24.49	-4.6	14.2
02/18/18 15:30:00.0	24.13	-3.84	15.4
02/18/18 16:00:00.0	21.76	-3.76	17.8
02/18/18 16:30:00.0	21.47	-4.07	17.8
02/18/18 17:00:00.0	21.42	-3.78	18.2
02/18/18 17:30:00.0	21.3	-3.49	18.6
02/18/18 18:00:00.0	21.26	-2.86	19.5
02/18/18 18:30:00.0	21.28	-2.58	19.9
02/18/18 19:00:00.0	22.69	-3.13	17.4
02/18/18 19:30:00.0	23.84	-2.51	17
02/18/18 20:00:00.0	24.21	-2.51	17
02/18/18 20:30:00.0	24.37	-2.2	17
02/18/18 21:00:00.0	24.47	-2.52	16.6
02/18/18 21:30:00.0	24.4	-2.2	17
02/18/18 22:00:00.0	24.37	-2.2	17
02/18/18 22:30:00.0	21.61	-1.16	21.6
02/18/18 23:00:00.0	21.26	-1.48	21.6
02/18/18 23:30:00.0	21.19	-1.23	22
