Date Time	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	RH (%) c:3
02/05/18 18:00:00.0	19.68	-13.28	9.5
02/05/18 18:30:00.0	19.47	-13.57	9.5
02/05/18 19:00:00.0	19.33	-13.57	9.5
02/05/18 19:30:00.0	19.45	-14.92	8.5
02/05/18 20:00:00.0	19.35	-14.92	8.5
02/05/18 20:30:00.0	19.33	-15.5	8.1
02/05/18 21:00:00.0	19.3	-14.92	8.5
02/05/18 21:30:00.0	20.85	-14.82	7.8
02/05/18 22:00:00.0	22.5	-14.66	7.2
02/05/18 22:30:00.0	22.76	-14.89	6.9
02/05/18 23:00:00.0	22.86	-14.89	6.9
02/05/18 23:30:00.0	22.93	-14.37	7.2
02/06/18 00:00:00.0	22.91	-14.37	7.2
02/06/18 00:30:00.0	22.88	-14.37	7.2
02/06/18 01:00:00.0	22.86	-14.37	7.2
02/06/18 01:30:00.0	22.86	-14.37	7.2
02/06/18 02:00:00.0	22.93	-14.37	7.2
02/06/18 02:30:00.0	22.91	-14.37	7.2
02/06/18 03:00:00.0	22.88	-14.37	7.2
02/06/18 03:30:00.0	22.76	-14.89	6.9
02/06/18 04:00:00.0	22.86	-14.89	6.9
02/06/18 04:30:00.0	22.74	-14.89	6.9
02/06/18 05:00:00.0	22.79	-15.61	6.5
02/06/18 05:30:00.0	22.79	-16.17	6.2
02/06/18 06:00:00.0	22.79	-16.17	6.2
02/06/18 06:30:00.0	22.79	-16.76	5.9
02/06/18 07:00:00.0	22.76	-17.38	5.6
02/06/18 07:30:00.0	22.43	-17.65	5.6
02/06/18 08:00:00.0	19.85	-17.13	6.9
02/06/18 08:30:00.0	19.45	-17.41	6.9
02/06/18 09:00:00.0	19.49	-17.41	6.9
02/06/18 09:30:00.0	19.4	-16.9	7.2
02/06/18 10:00:00.0	19.57	-18.11	6.5
02/06/18 10:30:00.0	19.59	-17.41	6.9
02/06/18 11:00:00.0	19.78	-17.13	6.9
02/06/18 11:30:00.0	19.95	-17.13	6.9
02/06/18 12:00:00.0	20.23	-17.55	6.5
02/06/18 12:30:00.0	20.33	-16.85	6.9
02/06/18 13:00:00.0	20.92	-16.29	6.9
02/06/18 13:30:00.0	21.14	-17	6.5
02/06/18 14:00:00.0	21.38	-17.28	6.2
02/06/18 14:30:00.0	21.11	-17.56	6.2
02/06/18 15:00:00.0	20.92	-17.56	6.2
02/06/18 15:30:00.0	20.78	-18.14	5.9
02/06/18 16:00:00.0	20.71	-18.41	5.9
02/06/18 16:30:00.0	20.47	-19.02	5.6
02/06/18 17:00:00.0	19.57	-19.24	5.9
02/06/18 17:30:00.0	19.52	-18.66	6.2
02/06/18 18:00:00.0	19.26	-18.66	6.2
02/06/18 18:30:00.0	19.35	-18.66	6.2
02/06/18 19:00:00.0	19.3	-18.66	6.2
02/06/18 19:30:00.0	19.3	-18.66	6.2
02/06/18 20:00:00.0	19.38	-18.66	6.2
02/06/18 20:30:00.0	19.26	-18.11	6.5
02/06/18 21:00:00.0	21.04	-17	6.5
02/06/18 21:30:00.0	22.48	-17.04	5.9
02/06/18 22:00:00.0	22.81	-18.03	5.3
02/06/18 22:30:00.0	22.86	-17.38	5.6
