Date Time	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	RH (%) c:3
02/05/18 18:00:00.0	24.01	-13.7	7.1
02/05/18 18:30:00.0	24.13	-14.22	6.8
02/05/18 19:00:00.0	24.37	-14.49	6.5
02/05/18 19:30:00.0	23.77	-15.62	6.2
02/05/18 20:00:00.0	23.43	-15.9	6.2
02/05/18 20:30:00.0	23.77	-16.21	5.9
02/05/18 21:00:00.0	23.94	-15.93	5.9
02/05/18 21:30:00.0	24.35	-15.66	5.9
02/05/18 22:00:00.0	24.28	-15.66	5.9
02/05/18 22:30:00.0	24.47	-15.66	5.9
02/05/18 23:00:00.0	23.77	-15.62	6.2
02/05/18 23:30:00.0	23.99	-15.34	6.2
02/06/18 00:00:00.0	23.99	-14.77	6.5
02/06/18 00:30:00.0	24.83	-14.78	6.2
02/06/18 01:00:00.0	24.01	-13.19	7.4
02/06/18 01:30:00.0	26.22	-15.56	5.3
02/06/18 02:00:00.0	25.88	-15.18	5.6
02/06/18 02:30:00.0	26.02	-13.94	6.2
02/06/18 03:00:00.0	25.83	-13.94	6.2
02/06/18 03:30:00.0	25.39	-14.82	5.9
02/06/18 04:00:00.0	25.37	-15.73	5.6
02/06/18 04:30:00.0	25.22	-15.1	5.9
02/06/18 05:00:00.0	25.51	-16.11	5.3
02/06/18 05:30:00.0	26	-17.27	4.7
02/06/18 06:00:00.0	26.44	-16.99	4.7
02/06/18 06:30:00.0	25.93	-18.04	4.4
02/06/18 07:00:00.0	25.68	-18.86	4.2
02/06/18 07:30:00.0	25.75	-17.54	4.7
02/06/18 08:00:00.0	23.68	-17.48	5.3
02/06/18 08:30:00.0	27.05	-16.45	4.7
02/06/18 09:00:00.0	26.34	-16.26	5
02/06/18 09:30:00.0	26.24	-15.56	5.3
02/06/18 10:00:00.0	26.98	-16.45	4.7
02/06/18 10:30:00.0	27.52	-16.96	4.4
02/06/18 11:00:00.0	28.58	-15.35	4.7
02/06/18 11:30:00.0	29.43	-16.14	4.2
02/06/18 12:00:00.0	29.9	-17.69	3.6
02/06/18 12:30:00.0	30.25	-16.47	3.9
02/06/18 13:00:00.0	30.38	-16.47	3.9
02/06/18 13:30:00.0	29.58	-17.02	3.9
02/06/18 14:00:00.0	29.2	-16.42	4.2
02/06/18 14:30:00.0	26.78	-15.98	5
02/06/18 15:00:00.0	25.58	-16.81	5
02/06/18 15:30:00.0	24.42	-18.35	4.7
02/06/18 16:00:00.0	23.29	-18.44	5
02/06/18 16:30:00.0	22.79	-18.71	5
02/06/18 17:00:00.0	23.19	-19.16	4.7
02/06/18 17:30:00.0	22.95	-19.43	4.7
02/06/18 18:00:00.0	22.69	-18.71	5
02/06/18 18:30:00.0	22.74	-18.71	5
02/06/18 19:00:00.0	23.1	-18.44	5
02/06/18 19:30:00.0	23.1	-19.16	4.7
02/06/18 20:00:00.0	23.07	-18.44	5
02/06/18 20:30:00.0	23.12	-17.76	5.3
02/06/18 21:00:00.0	23.22	-18.44	5
02/06/18 21:30:00.0	23.17	-18.44	5
02/06/18 22:00:00.0	23.15	-17.76	5.3
02/06/18 22:30:00.0	24.04	-18.62	4.7
02/06/18 23:00:00.0	23.94	-17.21	5.3
02/06/18 23:30:00.0	23.27	-16.49	5.9
02/07/18 00:00:00.0	22.64	-13.68	7.8
02/07/18 00:30:00.0	23	-14.54	7.1
02/07/18 01:00:00.0	22.91	-14.54	7.1
02/07/18 01:30:00.0	25.88	-14.55	5.9
02/07/18 02:00:00.0	26.51	-15.56	5.3
02/07/18 02:30:00.0	26.78	-14.62	5.6
02/07/18 03:00:00.0	26.61	-14.62	5.6
02/07/18 03:30:00.0	26.83	-14.62	5.6
02/07/18 04:00:00.0	26.34	-13.66	6.2
02/07/18 04:30:00.0	26.29	-15.56	5.3
02/07/18 05:00:00.0	26.34	-13.09	6.5
02/07/18 05:30:00.0	26.19	-13.66	6.2
02/07/18 06:00:00.0	26.07	-13.94	6.2
02/07/18 06:30:00.0	25.85	-14.55	5.9
02/07/18 07:00:00.0	25.75	-12.57	7.1
02/07/18 07:30:00.0	25.15	-12.34	7.4
02/07/18 08:00:00.0	22.79	-13.4	7.8
02/07/18 08:30:00.0	22.93	-14.04	7.4
02/07/18 09:00:00.0	22.83	-12.94	8.1
02/07/18 09:30:00.0	22.72	-12.94	8.1
02/07/18 10:00:00.0	24.16	-15.34	6.2
02/07/18 10:30:00.0	23.77	-14.5	6.8
02/07/18 11:00:00.0	24.47	-15.06	6.2
02/07/18 11:30:00.0	24.06	-14.22	6.8
02/07/18 12:00:00.0	23.89	-14.77	6.5
02/07/18 12:30:00.0	24.21	-14.22	6.8
02/07/18 13:00:00.0	23.75	-14.5	6.8
02/07/18 13:30:00.0	23.96	-15.34	6.2
02/07/18 14:00:00.0	23.53	-14.5	6.8
02/07/18 14:30:00.0	24.35	-15.66	5.9
02/07/18 15:00:00.0	24.3	-15.06	6.2
02/07/18 15:30:00.0	24.25	-15.66	5.9
02/07/18 16:00:00.0	23.77	-16.21	5.9
02/07/18 16:30:00.0	24.28	-15.66	5.9
02/07/18 17:00:00.0	22.81	-16.76	5.9
02/07/18 17:30:00.0	22.16	-17.31	5.9
02/07/18 18:00:00.0	22.26	-17.31	5.9
02/07/18 18:30:00.0	22.19	-16.73	6.2
02/07/18 19:00:00.0	22.86	-18.03	5.3
02/07/18 19:30:00.0	22.72	-17.38	5.6
02/07/18 20:00:00.0	22.86	-18.03	5.3
02/07/18 20:30:00.0	22.95	-18.03	5.3
02/07/18 21:00:00.0	23.63	-18.17	5
02/07/18 21:30:00.0	23.43	-18.44	5
02/07/18 22:00:00.0	23.34	-18.44	5
02/07/18 22:30:00.0	23.27	-18.44	5
02/07/18 23:00:00.0	23.03	-18.03	5.3
02/07/18 23:30:00.0	22.74	-18.03	5.3
02/08/18 00:00:00.0	23.07	-17.11	5.6
02/08/18 00:30:00.0	22.93	-17.38	5.6
02/08/18 01:00:00.0	22.24	-16.73	6.2
02/08/18 01:30:00.0	24.08	-17.21	5.3
02/08/18 02:00:00.0	24.83	-16.01	5.6
02/08/18 02:30:00.0	24.93	-17.35	5
02/08/18 03:00:00.0	25.12	-17.08	5
02/08/18 03:30:00.0	25.63	-16.11	5.3
02/08/18 04:00:00.0	25.12	-18.58	4.4
02/08/18 04:30:00.0	25.44	-18.31	4.4
02/08/18 05:00:00.0	25.34	-17.81	4.7
02/08/18 05:30:00.0	26.32	-18.32	4.2
02/08/18 06:00:00.0	26.73	-18.05	4.2
02/08/18 06:30:00.0	26.83	-17.5	4.4
02/08/18 07:00:00.0	26.85	-17.5	4.4
02/08/18 07:30:00.0	26.29	-17.77	4.4
02/08/18 08:00:00.0	24.37	-16.28	5.6
02/08/18 08:30:00.0	27.64	-17.51	4.2
02/08/18 09:00:00.0	26.78	-15.28	5.3
02/08/18 09:30:00.0	27.54	-16.96	4.4
02/08/18 10:00:00.0	28.31	-16.96	4.2
02/08/18 10:30:00.0	28.36	-15.62	4.7
02/08/18 11:00:00.0	29.03	-15.86	4.4
02/08/18 11:30:00.0	29.43	-15.58	4.4
02/08/18 12:00:00.0	30.2	-15.03	4.4
02/08/18 12:30:00.0	30.4	-8.58	7.4
02/08/18 13:00:00.0	30.08	-9.4	7.1
02/08/18 13:30:00.0	30.58	-11.15	5.9
02/08/18 14:00:00.0	27.27	-12.52	6.5
02/08/18 14:30:00.0	25.73	-12.57	7.1
02/08/18 15:00:00.0	25.37	-12.85	7.1
02/08/18 15:30:00.0	24.74	-13.66	6.8
02/08/18 16:00:00.0	24.59	-13.42	7.1
02/08/18 16:30:00.0	24.13	-14.77	6.5
02/08/18 17:00:00.0	24.16	-14.77	6.5
02/08/18 17:30:00.0	23.7	-13.98	7.1
02/08/18 18:00:00.0	23.68	-13.98	7.1
02/08/18 18:30:00.0	23.7	-13.98	7.1
02/08/18 19:00:00.0	23.82	-13.48	7.4
02/08/18 19:30:00.0	23.77	-13.98	7.1
02/08/18 20:00:00.0	23.82	-13.98	7.1
02/08/18 20:30:00.0	23.75	-12.83	7.8
02/08/18 21:00:00.0	23.6	-11.92	8.4
02/08/18 21:30:00.0	24.11	-12.08	8.1
02/08/18 22:00:00.0	24.06	-11.63	8.4
02/08/18 22:30:00.0	24.23	-11.34	8.4
02/08/18 23:00:00.0	23.89	-11.19	8.7
02/08/18 23:30:00.0	23.58	-10.92	9.1
02/09/18 00:00:00.0	23.36	-9.41	10.5
02/09/18 00:30:00.0	22.91	-10.19	10.1
02/09/18 01:00:00.0	22.67	-9.18	11.2
02/09/18 01:30:00.0	25.58	-10.47	8.4
02/09/18 02:00:00.0	26.05	-9.74	8.7
02/09/18 02:30:00.0	26.46	-9.89	8.4
02/09/18 03:00:00.0	26.73	-10.54	7.8
02/09/18 03:30:00.0	26.88	-10.54	7.8
02/09/18 04:00:00.0	27	-10.91	7.4
02/09/18 04:30:00.0	26.93	-11.71	7.1
02/09/18 05:00:00.0	27.34	-11.14	7.1
02/09/18 05:30:00.0	27.37	-11.68	6.8
02/09/18 06:00:00.0	27.34	-12.23	6.5
02/09/18 06:30:00.0	27.29	-11.96	6.8
02/09/18 07:00:00.0	26.85	-11.71	7.1
02/09/18 07:30:00.0	26.68	-12.25	6.8
02/09/18 08:00:00.0	24.49	-12.26	7.8
02/09/18 08:30:00.0	24.42	-11.79	8.1
02/09/18 09:00:00.0	24.52	-12.26	7.8
02/09/18 09:30:00.0	24.81	-11.97	7.8
02/09/18 10:00:00.0	24.88	-11.97	7.8
02/09/18 10:30:00.0	23.75	-9.99	9.8
02/09/18 11:00:00.0	25.05	-10.32	8.7
02/09/18 11:30:00.0	26.85	-11.2	7.4
02/09/18 12:00:00.0	27.22	-10.91	7.4
02/09/18 12:30:00.0	27.54	-9.96	7.8
02/09/18 13:00:00.0	29	-10.53	6.8
02/09/18 13:30:00.0	30.38	-10.82	6.2
02/09/18 14:00:00.0	29.85	-10.51	6.5
02/09/18 14:30:00.0	28.01	-11.39	6.8
02/09/18 15:00:00.0	27.89	-11.95	6.5
02/09/18 15:30:00.0	27.84	-12.53	6.2
02/09/18 16:00:00.0	26.68	-12.8	6.5
02/09/18 16:30:00.0	25.66	-13.65	6.5
02/09/18 17:00:00.0	24.21	-14.22	6.8
02/09/18 17:30:00.0	22.6	-14.82	7.1
02/09/18 18:00:00.0	22.48	-15.34	6.8
02/09/18 18:30:00.0	22.67	-16.45	6.2
02/09/18 19:00:00.0	22.76	-15.61	6.5
02/09/18 19:30:00.0	22.88	-16.17	6.2
02/09/18 20:00:00.0	22.6	-16.45	6.2
02/09/18 20:30:00.0	22.69	-15.61	6.5
02/09/18 21:00:00.0	22.74	-16.17	6.2
02/09/18 21:30:00.0	22.95	-16.17	6.2
02/09/18 22:00:00.0	23.1	-16.49	5.9
02/09/18 22:30:00.0	23.24	-17.76	5.3
02/09/18 23:00:00.0	23.15	-17.11	5.6
02/09/18 23:30:00.0	23.1	-17.76	5.3
02/10/18 00:00:00.0	23.29	-18.44	5
02/10/18 00:30:00.0	23.29	-18.44	5
02/10/18 01:00:00.0	23.36	-18.44	5
02/10/18 01:30:00.0	26.12	-18.59	4.2
02/10/18 02:00:00.0	26.51	-18.32	4.2
02/10/18 02:30:00.0	26.88	-18.91	3.9
02/10/18 03:00:00.0	26.46	-19.18	3.9
02/10/18 03:30:00.0	26.41	-16.99	4.7
02/10/18 04:00:00.0	26.14	-16.53	5
02/10/18 04:30:00.0	26.39	-16.26	5
02/10/18 05:00:00.0	26.71	-16.72	4.7
02/10/18 05:30:00.0	26.71	-16.72	4.7
02/10/18 06:00:00.0	26.66	-16.72	4.7
02/10/18 06:30:00.0	26.9	-17.5	4.4
