Date Time	High-Res Temp (*C) c:1 2	Dew Point (*C) c:1 3	RH (%) c:3
02/05/18 18:00:00.0	27.47	-14.06	5.6
02/05/18 18:30:00.0	27.86	-15.15	5
02/05/18 19:00:00.0	27.76	-14.45	5.3
02/05/18 19:30:00.0	27.76	-15.9	4.7
02/05/18 20:00:00.0	27.27	-16.45	4.7
02/05/18 20:30:00.0	27.59	-16.69	4.5
02/05/18 21:00:00.0	27.69	-16.69	4.5
02/05/18 21:30:00.0	28.13	-16.14	4.5
02/05/18 22:00:00.0	28.16	-16.14	4.5
02/05/18 22:30:00.0	28.33	-16.14	4.5
02/05/18 23:00:00.0	27.76	-15.9	4.7
02/05/18 23:30:00.0	27.86	-15.9	4.7
02/06/18 00:00:00.0	27.93	-15.9	4.7
02/06/18 00:30:00.0	29.33	-15.31	4.5
02/06/18 01:00:00.0	28.06	-15.9	4.7
02/06/18 01:30:00.0	27.34	-16.17	4.7
02/06/18 02:00:00.0	26.49	-15.56	5.3
02/06/18 02:30:00.0	26.19	-16.26	5
02/06/18 03:00:00.0	26.05	-15.84	5.3
02/06/18 03:30:00.0	25.88	-16.53	5
02/06/18 04:00:00.0	25.93	-16.53	5
02/06/18 04:30:00.0	25.68	-16.81	5
02/06/18 05:00:00.0	25.88	-17.27	4.7
02/06/18 05:30:00.0	25.9	-17.78	4.5
02/06/18 06:00:00.0	26.22	-17.51	4.5
02/06/18 06:30:00.0	25.8	-17.78	4.5
02/06/18 07:00:00.0	25.8	-17.78	4.5
02/06/18 07:30:00.0	26.49	-19.18	3.9
02/06/18 08:00:00.0	26.17	-18.32	4.2
02/06/18 08:30:00.0	26.71	-18.91	3.9
02/06/18 09:00:00.0	26.85	-18.91	3.9
02/06/18 09:30:00.0	27.17	-17.78	4.2
02/06/18 10:00:00.0	27.02	-17.78	4.2
02/06/18 10:30:00.0	27.84	-18.11	3.9
02/06/18 11:00:00.0	29.08	-18.24	3.6
02/06/18 11:30:00.0	29.45	-17.97	3.6
02/06/18 12:00:00.0	30.28	-18.1	3.4
02/06/18 12:30:00.0	31.11	-18.64	3.1
02/06/18 13:00:00.0	30.23	-18.1	3.4
02/06/18 13:30:00.0	28.7	-16.69	4.2
02/06/18 14:00:00.0	27.52	-16.69	4.5
02/06/18 14:30:00.0	25.68	-18.05	4.5
02/06/18 15:00:00.0	24.69	-18.59	4.5
02/06/18 15:30:00.0	23.72	-19.4	4.5
02/06/18 16:00:00.0	24.45	-19.66	4.2
02/06/18 16:30:00.0	24.4	-20.51	3.9
02/06/18 17:00:00.0	25.34	-19.98	3.9
02/06/18 17:30:00.0	25.27	-20.9	3.6
02/06/18 18:00:00.0	25.49	-19.71	3.9
02/06/18 18:30:00.0	25.95	-20.37	3.6
02/06/18 19:00:00.0	26.58	-19.84	3.6
02/06/18 19:30:00.0	26.24	-20.76	3.4
02/06/18 20:00:00.0	26.19	-20.11	3.6
02/06/18 20:30:00.0	26.56	-19.84	3.6
02/06/18 21:00:00.0	26.51	-19.18	3.9
02/06/18 21:30:00.0	26.19	-19.18	3.9
02/06/18 22:00:00.0	26.53	-20.11	3.6
02/06/18 22:30:00.0	27.52	-18.38	3.9
02/06/18 23:00:00.0	27.84	-18.11	3.9
02/06/18 23:30:00.0	27.49	-16.69	4.5
02/07/18 00:00:00.0	27	-16.45	4.7
02/07/18 00:30:00.0	27.27	-16.45	4.7
02/07/18 01:00:00.0	27.22	-16.45	4.7
02/07/18 01:30:00.0	27.49	-16.17	4.7
02/07/18 02:00:00.0	27.27	-16.45	4.7
02/07/18 02:30:00.0	26.93	-15.98	5
02/07/18 03:00:00.0	27.22	-15.71	5
02/07/18 03:30:00.0	27	-15.71	5
02/07/18 04:00:00.0	26.78	-15.98	5
02/07/18 04:30:00.0	26.83	-15.98	5
02/07/18 05:00:00.0	26.88	-15.98	5
02/07/18 05:30:00.0	26.78	-15.98	5
02/07/18 06:00:00.0	26.73	-15.98	5
02/07/18 06:30:00.0	26.19	-16.26	5
02/07/18 07:00:00.0	26.34	-15.56	5.3
02/07/18 07:30:00.0	26.27	-15.56	5.3
02/07/18 08:00:00.0	26.19	-15.56	5.3
02/07/18 08:30:00.0	26.49	-16.26	5
02/07/18 09:00:00.0	26.53	-15.56	5.3
02/07/18 09:30:00.0	26.46	-16.26	5
02/07/18 10:00:00.0	27.27	-16.45	4.7
02/07/18 10:30:00.0	25.75	-15.45	5.6
02/07/18 11:00:00.0	26.32	-15.56	5.3
